"id","prozessart","ikw","bundesland","ezg","ereignis_jahr","ereignis_monat","ereignis_Tag","punkt_x","punkt_y","WLK_ID"
26680,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Schwarzwasserbach",2005,8,22,158007,387084,"313941"
26681,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Rehmerbach",2005,8,22,147848,385707,"316421"
26682,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Schmiedbach",2005,8,22,163478,389447,"304381"
26683,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Frutz",2005,8,23,122028,382083,"298141"
26687,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Pfudidetschbach",2005,8,23,123212,376784,"300021"
26689,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Schnifisertobel",2005,8,23,126863,375131,"303101"
26690,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Ratzbach",2005,8,23,122509,385004,"312501"
26691,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Klausbach",2005,8,23,122217,385951,"312621"
26692,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Weißenbach",2005,8,22,145863,388165,"302981"
26695,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Schmiedlebach",2005,8,23,141024,398172,"310821"
26696,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Bizauerbach",2005,8,23,140521,391485,"315941"
26698,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Scheidbach",2005,8,23,144613,400883,"308501"
26699,"Fluviatiler Feststofftransport",NA,"Tirol","Bernhardsbach",2005,8,22,180638,380490,"110493"
26700,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Grebenbach",2005,8,23,143300,392916,"310941"
26701,"Fluviatiler Feststofftransport",NA,"Tirol","Weißenbach",2005,8,22,196978,397382,"109046"
26705,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Höllbach",2005,8,22,144999,388894,"303021"
26721,"Fluviatiler Feststofftransport",NA,"Steiermark","Sacklgraben",2005,8,21,572035,390631,"105294"
26722,"Murartiger Feststofftransport",NA,"Steiermark","Grubbauergraben",2005,8,21,568769,389666,"105321"
26723,"Murgang",NA,"Steiermark","Finkenpetergraben",2005,8,21,569936,389705,"105341"
26724,"Murartiger Feststofftransport",NA,"Steiermark","Duilergraben",2005,8,21,570703,389935,"106874"
26727,"Fluviatiler Feststofftransport",NA,"Steiermark","Haslauergraben",2005,8,21,573997,386916,"105351"
26728,"Murartiger Feststofftransport",NA,"Steiermark","Steinbach",2005,8,21,571235,391535,"105221"
26729,"Fluviatiler Feststofftransport",NA,"Steiermark","Steinbach",2005,8,21,570439,391931,"105221"
26730,"Fluviatiler Feststofftransport",NA,"Steiermark","Fischergrabenbach",2005,8,21,569748,391315,"105229"
26731,"Fluviatiler Feststofftransport",NA,"Steiermark","Fischergrabenbach",2005,8,21,570556,389984,"105229"
26732,"Murartiger Feststofftransport",NA,"Steiermark","Haslauergraben",2005,8,21,573830,386777,"105351"
26733,"Fluviatiler Feststofftransport",NA,"Steiermark","Steinbach",2005,8,21,570340,392133,"105221"
26734,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Samina",2005,8,23,116759,370117,"312661"
26736,"Fluviatiler Feststofftransport",NA,"Steiermark","Prentgrabenbach",2005,5,30,534229,391604,"105018"
26737,"Fluviatiler Feststofftransport",NA,"Steiermark","Kletschachbach",2005,5,30,537212,391156,"104913"
26738,"Fluviatiler Feststofftransport",NA,"Steiermark","Kohlbrandbach",2005,5,30,538415,391368,"105126"
26739,"Fluviatiler Feststofftransport",NA,"Steiermark","Veitschbach",2005,6,25,568476,420258,"106202"
26740,"Murartiger Feststofftransport",NA,"Steiermark","Radmerbach",2005,7,25,506586,405610,"107352"
26741,"Fluviatiler Feststofftransport",NA,"Steiermark","Stanglgraben",2005,7,25,525760,389685,"105249"
26742,"Fluviatiler Feststofftransport",NA,"Steiermark","Mitteraichbach",2005,7,30,542945,390375,"105263"
26743,"Fluviatiler Feststofftransport",NA,"Tirol","Köterbach",2005,8,23,188668,364045,"109838"
26744,"Fluviatiler Feststofftransport",NA,"Tirol","Grinner Mühlbach",2005,8,23,187306,363776,"109788"
26745,"Fluviatiler Feststofftransport",NA,"Tirol","Dawinbach",2005,8,23,181573,362787,"109826"
26746,"Murartiger Feststofftransport",NA,"Steiermark","Brandstattbach",2005,8,21,564121,398022,"104851"
26747,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Stiedelsbach",2005,5,23,483604,447992,"103261"
26748,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Arzberggraben",2005,5,23,484593,444625,"103244"
26749,"Fluviatiler Feststofftransport",NA,"Steiermark","Zintonerbach",2005,8,21,563114,389020,"106886"
26750,"Fluviatiler Feststofftransport",NA,"Steiermark","Eibeggbach",2005,8,21,558463,392777,"105129"
26757,"Fluviatiler Feststofftransport",NA,"Steiermark","Harterbach",2005,8,21,557031,402064,"104537"
26758,"Fluviatiler Feststofftransport",NA,"Steiermark","Schwaigbach",2005,8,21,559733,403684,"104532"
26759,"Murgang",NA,"Steiermark","Kotzbach",2005,8,22,541509,392574,"104931"
26760,"Fluviatiler Feststofftransport",NA,"Steiermark","Homreitergraben",2005,8,21,552418,385571,"105394"
26761,"Fluviatiler Feststofftransport",NA,"Steiermark","Ganglbach",2005,8,21,552166,386299,"105368"
26762,"Fluviatiler Feststofftransport",NA,"Steiermark","Schloßgraben",2005,8,21,552075,386451,"105373"
26765,"Fluviatiler Feststofftransport",NA,"Tirol","Grünbach",2005,8,22,187745,363829,"109360"
26766,"Fluviatiler Feststofftransport",NA,"Steiermark","Feebergbach",2005,7,26,502380,362142,"106017"
26767,"Murartiger Feststofftransport",NA,"Steiermark","Reiflingbach",2005,7,26,501059,362487,"105991"
26769,"Fluviatiler Feststofftransport",NA,"Steiermark","Gopitzbach",2005,7,26,509890,361148,"106067"
26770,"Fluviatiler Feststofftransport",NA,"Steiermark","Mittergrabenbach",2005,7,26,507783,362157,"106033"
26771,"Fluviatiler Feststofftransport",NA,"Steiermark","Hochwieserbach",2005,7,26,510583,361253,"106081"
26772,"Fluviatiler Feststofftransport",NA,"Steiermark","Krugbach",2005,7,26,506239,360633,"107225"
26773,"Fluviatiler Feststofftransport",NA,"Tirol","Äußerer Nederbach",2005,8,22,181187,357075,"109404"
26776,"Fluviatiler Feststofftransport",NA,"Steiermark","Kathalbach",2005,7,26,504592,355883,"106194"
26777,"Fluviatiler Feststofftransport",NA,"Steiermark","Freßnitzbach",2005,8,21,567035,404868,"104586"
26778,"Murartiger Feststofftransport",NA,"Steiermark","Hagenbauerbach",2005,7,26,503502,353939,"106979"
26779,"Fluviatiler Feststofftransport",NA,"Steiermark","Hörmayerbach",2005,7,26,504516,352522,"106251"
26780,"Fluviatiler Feststofftransport",NA,"Steiermark","Kieslinggrabenbach",2005,7,26,503692,353491,"106228"
26781,"Fluviatiler Feststofftransport",NA,"Steiermark","Lauslingbach",2005,7,26,504768,352053,"106985"
26782,"Fluviatiler Feststofftransport",NA,"Steiermark","Utschbach",2005,7,30,541461,390068,"105237"
26785,"Fluviatiler Feststofftransport",NA,"Steiermark","Tulhupferbach",2005,7,26,504199,352923,"106239"
26786,"Fluviatiler Feststofftransport",NA,"Steiermark","Kienbergbach",2005,7,26,502106,355872,"107237"
26787,"Fluviatiler Feststofftransport",NA,"Steiermark","Granitzenbach",2005,7,26,501471,352866,"107074"
26788,"Fluviatiler Feststofftransport",NA,"Steiermark","Warbach",2005,7,26,501877,352290,"106268"
26789,"Fluviatiler Feststofftransport",NA,"Steiermark","Warbach",2005,8,26,501932,352406,"106268"
26790,"Fluviatiler Feststofftransport",NA,"Steiermark","Krugbach",2005,8,26,506207,360641,"107225"
26791,"Fluviatiler Feststofftransport",NA,"Steiermark","Blochbauerbach",2005,7,26,502429,354751,"107113"
26792,"Fluviatiler Feststofftransport",NA,"Steiermark","Kalchbergbach",2005,7,26,503502,351866,"106276"
26793,"Fluviatiler Feststofftransport",NA,"Steiermark","Mittergrabenbach",2005,8,26,507610,362306,"106033"
26794,"Fluviatiler Feststofftransport",NA,"Steiermark","Messnerbach",2005,7,26,447863,365736,"105755"
26795,"Fluviatiler Feststofftransport",NA,"Steiermark","Sölsnitzbach",2005,8,21,555442,397367,"104823"
26796,"Murartiger Feststofftransport",NA,"Steiermark","Fochnitzbach",2005,8,21,564874,398679,"104694"
26797,"Fluviatiler Feststofftransport",NA,"Steiermark","Jaßnitzbach",2005,8,21,558734,397647,"104847"
26798,"Murgang",NA,"Steiermark","Schöderbach",2005,7,NA,453588,364957,"105640"
26799,"Fluviatiler Feststofftransport",NA,"Steiermark","Schöderbach",2005,10,NA,457546,364795,"105640"
26802,"Fluviatiler Feststofftransport",NA,"Steiermark","Mürzgrabenbach",2005,8,21,554633,401585,"104504"
26805,"Fluviatiler Feststofftransport",NA,"Steiermark","Hinterburgerbach Süd",2005,7,NA,471539,362228,"105866"
26806,"Murgang",NA,"Vorarlberg","Hinteres Burgtobel",2005,8,22,158310,372834,"305021"
26809,"Fluviatiler Feststofftransport",NA,"Vorarlberg","Hüttnertobel",2005,8,22,146144,351411,"299581"
26813,"Murartiger Feststofftransport",NA,"Vorarlberg","Rauzbach",2005,8,22,159405,364670,"152535"
26814,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Forsthubgraben",2005,5,23,484522,444529,"103227"
26815,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Kropatschgraben",2005,5,23,484028,444097,"103231"
26816,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Gollnergraben",2005,5,23,483896,443895,"103230"
26817,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Klausbach",2005,5,30,494942,502854,"102564"
26818,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dimbach",2005,5,30,516873,483225,"102452"
26819,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dornacherbach",2005,8,24,511917,478836,"102448"
26820,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dimbach",2005,5,30,517953,487578,"102452"
26829,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Trambach",2005,7,10,445190,445303,"102856"
26830,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Koglbach",2005,7,10,445090,442213,"102826"
26832,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Klammbach",2005,7,10,433298,438910,"102839"
26833,"Fluviatiler Feststofftransport",NA,"Steiermark","Geißenbach",2005,7,31,488620,408040,"107338"
26834,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Winklgraben",2005,7,10,433151,438958,"102840"
26835,"Fluviatiler Feststofftransport",NA,"Steiermark","Schüttgraben",2005,7,31,488796,409153,"107343"
26837,"Murartiger Feststofftransport",NA,"Steiermark","Feistritzbach",2005,6,25,496124,362764,"105916"
26838,"Fluviatiler Feststofftransport",NA,"Steiermark","Johnsbach",2005,7,31,493265,407404,"106573"
26839,"Murartiger Feststofftransport",NA,"Steiermark","Feistritzbach",2005,6,29,496122,362755,"105916"
26840,"Fluviatiler Feststofftransport",NA,"Steiermark","Finstergraben",2005,7,31,495385,409206,"107376"
26841,"Fluviatiler Feststofftransport",NA,"Steiermark","Schneiderwartgraben",2005,7,31,497187,410054,"107341"
26843,"Fluviatiler Feststofftransport",NA,"Steiermark","Tamischbach",2005,7,31,499842,418291,"105558"
26844,"Murartiger Feststofftransport",NA,"Steiermark","Rachauer Bach",2005,10,1,520579,368567,"105760"
26845,"Fluviatiler Feststofftransport",NA,"Steiermark","Grünbichlbach",2005,7,17,477176,404113,"104482"
26846,"Fluviatiler Feststofftransport",NA,"Steiermark","Wiednerbach",2005,8,6,514652,362059,"106050"
26847,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Siegesbach",2005,7,10,433749,437533,"102834"
26848,"Murartiger Feststofftransport",NA,"Steiermark","Lobmingbach",2005,10,1,518372,360954,"105077"
26850,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Trockengraben",2005,5,23,485376,444455,"103242"
26851,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Gschliefnergraben",2005,5,23,483915,444085,"142882"
26852,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Steinbach",2005,7,11,452301,443740,"103110"
26853,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Rußbach",2005,7,10,441213,450019,"102900"
26854,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Nussenseebach",2005,7,10,416757,423643,"103032"
26855,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Riegelthalgraben",2005,5,23,484294,445125,"103246"
26856,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Kronbergbach",2005,5,30,430695,447136,"102861"
26857,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Wolfsbach",2005,5,30,429619,447385,"103087"
26858,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Landsgraben",2005,7,11,432493,432534,"102991"
26859,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Gosaubach",2005,7,10,423494,410299,"102946"
26860,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Sulzbach",2005,7,11,421078,422314,"103036"
26861,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Vöcklabergrunsen",2005,7,10,431192,449197,"163925"
26862,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Stambach",2005,7,10,423322,415915,"103071"
26863,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Poserer Höllgraben",2005,7,10,421001,416950,"103074"
26864,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Kesselbach",2005,7,10,426711,427578,"102966"
26865,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dietlbach",2005,7,11,407787,426694,"102854"
26866,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Grünaubach",2005,7,11,446667,439883,"102944"
26867,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Kasbergbach",2005,7,11,446629,439318,"102942"
26876,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Fürst im Reutl-Bach",2005,7,11,446313,438490,"102940"
26878,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Hinterrinnbach",2005,7,11,445986,437939,"102929"
26879,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Tengelgraben",2005,7,10,420526,418609,"103044"
26880,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Rettenbach",2005,7,11,422605,424179,"103037"
26883,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Rindbach",2005,7,10,434290,434494,"102983"
26884,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Goiserer Weißenbach",2005,7,11,420438,418149,"103045"
26885,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Brenntbach",2005,7,11,446393,437208,"102939"
26886,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Reifgraben",2005,7,11,445632,439957,"102927"
26887,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Teufelsgraben",2005,7,11,436107,441663,"102954"
26888,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Schobersteingraben",2005,7,10,429045,430275,"103010"
26890,"Murartiger Feststofftransport",NA,"Vorarlberg","Balbierbach",2005,8,22,147604,351886,"299541"
26891,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Koglbach",2005,4,26,445444,442417,"102826"
